  -10.000000    1.000000    3.384406    5.709647    7.920951    9.971776   11.826653   13.462752   14.870071   16.050373   17.015142   17.782940   18.376486   18.819866   19.136066   19.344997   19.462036   19.497107   19.454187   19.331196   19.120234   18.808054   18.376879   17.805424   17.070211   16.147095   15.012961   13.647756   12.037192   10.177862    8.089394    5.840918    3.561985    1.000000    1.000000    1.000000    1.000000    1.000000    3.034241    4.584569    5.870566    6.815008    7.361422    7.485984    7.190503    6.499800    5.460618    4.139789    2.620981    1.000000  -10.000000
  -10.000000    1.000000    3.386071    5.712934    7.925776    9.978019   11.834163   13.471353   14.879559   16.060516   17.025669   17.793512   18.386656   18.829025   19.143349   19.349163   19.461313   19.488979   19.435144   19.296427   19.063231   18.720201   18.246901   17.618738   16.808067   15.785378   14.520306   12.982266   11.140285    8.962628    6.424329    3.576995    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    2.792037    4.501715    5.776710    6.570882    6.886647    6.742531    6.173759    5.234500    3.997689    2.552505    1.000000  -10.000000
  -10.000000    1.000000    3.387033    5.714834    7.928565    9.981624   11.838495   13.476305   14.885005   16.066309   17.031631   17.799404   18.392164   18.833698   19.146536   19.349932   19.458303   19.480267   19.418028   19.267193   19.016850   18.649975   18.144035   17.471798   16.602283   15.501637   14.133661   12.459185   10.432256    7.986130    4.981603    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    3.395320    4.972599    5.960322    6.422502    6.394981    5.920649    5.058961    3.887398    2.499366    1.000000  -10.000000
  -10.000000    1.000000    3.387526    5.715807    7.929992    9.983468   11.840710   13.478833   14.887778   16.069244   17.034626   17.802322   18.394810   18.835796   19.147686   19.349546   19.455532   19.473898   19.406361   19.247877   18.986704   18.604755   18.078154   17.377977   16.471149   15.321204   13.888896   12.132215   10.005840    7.460961    4.452895    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    2.978557    4.538757    5.594468    6.134338    6.176421    5.760724    4.947859    3.817553    2.465709    1.000000  -10.000000
  -10.000000    1.000000    3.387676    5.716105    7.930429    9.984032   11.841388   13.479606   14.888625   16.070139   17.035532   17.803196   18.395586   18.836384   19.147951   19.349281   19.454451   19.471586   19.402237   19.241140   18.976263   18.589159   18.055483   17.345743   16.426147   15.259399   13.805414   12.021914    9.865898    7.299777    4.314477    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    2.867607    4.404884    5.474411    6.037343    6.102090    5.706107    4.909855    3.793647    2.454187    1.000000  -10.000000
  -10.000000    1.000000    3.387526    5.715807    7.929992    9.983468   11.840710   13.478833   14.887778   16.069244   17.034626   17.802322   18.394810   18.835796   19.147686   19.349546   19.455532   19.473898   19.406361   19.247877   18.986704   18.604755   18.078154   17.377977   16.471149   15.321204   13.888896   12.132215   10.005840    7.460961    4.452895    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    2.978557    4.538757    5.594468    6.134338    6.176421    5.760724    4.947859    3.817553    2.465709    1.000000  -10.000000
  -10.000000    1.000000    3.387033    5.714834    7.928565    9.981624   11.838495   13.476305   14.885005   16.066309   17.031631   17.799404   18.392164   18.833698   19.146536   19.349932   19.458303   19.480267   19.418028   19.267193   19.016850   18.649975   18.144035   17.471798   16.602283   15.501637   14.133661   12.459185   10.432256    7.986130    4.981603    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    3.395320    4.972599    5.960322    6.422502    6.394981    5.920649    5.058961    3.887398    2.499366    1.000000  -10.000000
  -10.000000    1.000000    3.386071    5.712934    7.925776    9.978019   11.834163   13.471353   14.879559   16.060516   17.025669   17.793512   18.386656   18.829025   19.143349   19.349163   19.461313   19.488979   19.435144   19.296427   19.063231   18.720201   18.246901   17.618738   16.808067   15.785378   14.520306   12.982266   11.140285    8.962628    6.424329    3.576995    1.000000   -0.200000   -0.200000   -0.200000   -0.200000   -0.200000    1.000000    2.792037    4.501715    5.776710    6.570882    6.886647    6.742531    6.173759    5.234500    3.997689    2.552505    1.000000  -10.000000
  -10.000000    1.000000    3.384406    5.709647    7.920951    9.971776   11.826653   13.462752   14.870071   16.050373   17.015142   17.782940   18.376486   18.819866   19.136066   19.344997   19.462036   19.497107   19.454187   19.331196   19.120234   18.808054   18.376879   17.805424   17.070211   16.147095   15.012961   13.647756   12.037192   10.177862    8.089394    5.840918    3.561985    1.000000    1.000000    1.000000    1.000000    1.000000    3.034241    4.584569    5.870566    6.815008    7.361422    7.485984    7.190503    6.499800    5.460618    4.139789    2.620981    1.000000  -10.000000
  -10.000000    1.000000    3.381666    5.704239    7.913010    9.961493   11.814274   13.448556   14.854372   16.033516   16.997517   17.765001   18.358820   18.803234   19.121515   19.334005   19.456701   19.500374   19.470144   19.365442   19.180273   18.903795   18.521196   18.014824   17.365646   16.555050   15.566997   14.390776   13.024759   11.482163    9.800310    8.053447    6.361489    4.895853    4.330289    4.130802    4.162052    4.485047    5.474868    6.491469    7.360826    7.972470    8.254396    8.167676    7.702014    6.872977    5.719821    4.302835    2.699591    1.000000  -10.000000
